Cluster,N,Mora_Real_Pct,Score_Mora_Medio,Valor_Credito_Medio,No_Creditos_Medio,Segmento,Estrategia_Cobranza
0.0,24800,0.045,0.494,1403289.969,24800,RIESGO MEDIO,Contacto preventivo: SMS + correo antes del vencimiento
1.0,2177,0.817,0.934,475908.121,2177,ALTO RIESGO,Gestión inmediata: llamada + visita presencial + contacto codeudor
