Nota_debito,Cliente,Prob_Mora,Zona_Riesgo
2907929,22500277,0.279,BAJO
2909560,2249385,0.2146,BAJO
2909561,2249385,0.2146,BAJO
2909562,2249385,0.2146,BAJO
2909563,2249385,0.2146,BAJO
2907688,2196593,0.2124,BAJO
2907689,2196593,0.2124,BAJO
2907690,2196593,0.2124,BAJO
2907691,2196593,0.2124,BAJO
2907030,2166171,0.7178,ALTO
2907032,2166171,0.7178,ALTO
2907033,2166171,0.7178,ALTO
2907034,2166171,0.7178,ALTO
2908588,2245872,0.1502,BAJO
2908589,2245872,0.1502,BAJO
2908590,2245872,0.1502,BAJO
2908591,2245872,0.1502,BAJO
2907168,2236909,0.2745,BAJO
2907515,22502305,0.3166,MEDIO
2907516,22502305,0.3166,MEDIO
2907517,22502305,0.3166,MEDIO
2907518,22502305,0.3166,MEDIO
2907519,22502305,0.3166,MEDIO
2910201,2200729,0.1786,BAJO
2910202,2200729,0.1786,BAJO
2910203,2200729,0.1786,BAJO
2910204,2200729,0.1786,BAJO
2907924,22502142,0.162,BAJO
2907925,22502142,0.162,BAJO
2907926,22502142,0.162,BAJO
2907927,22502142,0.162,BAJO
2907591,22502339,0.3044,MEDIO
2907065,22502136,0.3764,MEDIO
2907066,22502136,0.3764,MEDIO
2907067,22502136,0.3764,MEDIO
2907068,22502136,0.3764,MEDIO
2909015,22500040,0.2696,BAJO
2908595,2248239,0.4505,MEDIO
2908353,22500326,0.4044,MEDIO
2908181,2245621,0.2812,BAJO
2908182,2245621,0.2812,BAJO
2908183,2245621,0.2812,BAJO
2908184,2245621,0.2812,BAJO
2907165,2205785,0.1848,BAJO
2907339,2161679,0.2558,BAJO
2907510,2190680,0.258,BAJO
2909236,22501823,0.3668,MEDIO
2909237,22501823,0.3668,MEDIO
2909238,22501823,0.3668,MEDIO
2909239,22501823,0.3668,MEDIO
2909823,2200153,0.1858,BAJO
2908160,2181110,0.2825,BAJO
2910419,22501870,0.3828,MEDIO
2910420,22501870,0.3828,MEDIO
2910421,22501870,0.3828,MEDIO
2910422,22501870,0.3828,MEDIO
2909863,22501259,0.2732,BAJO
2909864,22501259,0.2732,BAJO
2909865,22501259,0.2732,BAJO
2909866,22501259,0.2732,BAJO
2908517,22501523,0.1566,BAJO
2908518,22501523,0.1566,BAJO
2908519,22501523,0.1566,BAJO
2908520,22501523,0.1566,BAJO
2909164,22502479,0.3674,MEDIO
2909165,22502479,0.3674,MEDIO
2909166,22502479,0.3674,MEDIO
2909167,22502479,0.3674,MEDIO
2909109,22501611,0.2671,BAJO
2909110,22501611,0.2671,BAJO
2908427,2200006,0.2733,BAJO
2908428,2200006,0.2733,BAJO
2908429,2200006,0.2733,BAJO
2908430,2200006,0.2733,BAJO
2907582,2195064,0.2541,BAJO
2907589,2195064,0.2541,BAJO
2907669,2196177,0.5894,MEDIO
2907670,2196177,0.5894,MEDIO
2907671,2196177,0.5894,MEDIO
2907672,2196177,0.5894,MEDIO
2907679,2200145,0.2724,BAJO
2907680,2200145,0.2724,BAJO
2907681,2200145,0.2724,BAJO
2907682,2200145,0.2724,BAJO
2909004,22500945,0.1793,BAJO
2909096,22502139,0.3828,MEDIO
2909097,22502139,0.3828,MEDIO
2909098,22502139,0.3828,MEDIO
2909099,22502139,0.3828,MEDIO
2909693,22501510,0.2896,BAJO
2909694,22501510,0.2896,BAJO
2909695,22501510,0.2896,BAJO
2909696,22501510,0.2896,BAJO
2907707,2190540,0.2233,BAJO
2907708,2190540,0.2233,BAJO
2907709,2190540,0.2233,BAJO
2907710,2190540,0.2233,BAJO
2909703,2248744,0.3156,MEDIO
2909704,2248744,0.3156,MEDIO
2909705,2248744,0.3156,MEDIO
2909706,2248744,0.3156,MEDIO
2909655,22502157,0.3646,MEDIO
2909656,22502157,0.3646,MEDIO
2909657,22502157,0.3646,MEDIO
2909658,22502157,0.3646,MEDIO
2908155,2210174,0.3535,MEDIO
2909114,2190289,0.2037,BAJO
2909761,22501646,0.1647,BAJO
2909762,22501646,0.1647,BAJO
2909763,22501646,0.1647,BAJO
2909764,22501646,0.1647,BAJO
2909078,2185604,0.2345,BAJO
2910056,2211147,0.1749,BAJO
2910057,2211147,0.1749,BAJO
2910058,2211147,0.1749,BAJO
2910059,2211147,0.1749,BAJO
2909487,22502395,0.1502,BAJO
2909488,22502395,0.1502,BAJO
2909489,22502395,0.1502,BAJO
2909490,22502395,0.1502,BAJO
2907972,2248410,0.1985,BAJO
2907973,2248410,0.1985,BAJO
2907974,2248410,0.1985,BAJO
2907975,2248410,0.1985,BAJO
2907976,2248410,0.1985,BAJO
2910243,22502273,0.3315,MEDIO
2910244,22502273,0.3315,MEDIO
2910245,22502273,0.3315,MEDIO
2910246,22502273,0.3315,MEDIO
2908409,2249653,0.3017,MEDIO
2908410,2249653,0.3017,MEDIO
2908411,2249653,0.3017,MEDIO
2908412,2249653,0.3017,MEDIO
2908223,2244903,0.2828,BAJO
2908224,2244903,0.2828,BAJO
2908225,2244903,0.2828,BAJO
2908273,2248035,0.2736,BAJO
2908404,2221158,0.1538,BAJO
2908405,2221158,0.1538,BAJO
2908406,2221158,0.1538,BAJO
2908407,2221158,0.1538,BAJO
2908524,2246529,0.3045,MEDIO
2908525,2246529,0.3045,MEDIO
2908355,22502576,0.3315,MEDIO
2908356,22502576,0.3315,MEDIO
2908357,22502576,0.3315,MEDIO
2908358,22502576,0.3315,MEDIO
2908657,2245814,0.2896,BAJO
2908658,2245814,0.2896,BAJO
2908659,2245814,0.2896,BAJO
2908660,2245814,0.2896,BAJO
2908397,2235879,0.2834,BAJO
2908398,2235879,0.2834,BAJO
2908399,2235879,0.2834,BAJO
2908400,2235879,0.2834,BAJO
2910289,22502251,0.3337,MEDIO
2910290,22502251,0.3337,MEDIO
2910291,22502251,0.3337,MEDIO
2910292,22502251,0.3337,MEDIO
2909081,22502235,0.1648,BAJO
2909082,22502235,0.1648,BAJO
2909083,22502235,0.1648,BAJO
2909084,22502235,0.1648,BAJO
2909392,2185761,0.2285,BAJO
2909393,2185761,0.2285,BAJO
2909394,2185761,0.2285,BAJO
2909395,2185761,0.2285,BAJO
2909016,2248393,0.3052,MEDIO
2911254,22500239,0.2347,BAJO
2908757,2201309,0.2793,BAJO
2908758,2201309,0.2793,BAJO
2908759,2201309,0.2793,BAJO
2908760,2201309,0.2793,BAJO
2910335,22500237,0.282,BAJO
2909073,2220717,0.34,MEDIO
2909074,2220717,0.34,MEDIO
2909075,2220717,0.34,MEDIO
2909076,2220717,0.34,MEDIO
2909981,22500238,0.3208,MEDIO
2910079,22500221,0.3208,MEDIO
2909679,22500212,0.3157,MEDIO
2909330,2248665,0.2582,BAJO
2910009,22502269,0.3057,MEDIO
2909635,22502480,0.3058,MEDIO
2908865,2035907,0.3508,MEDIO
2908866,2035907,0.3508,MEDIO
2908867,2035907,0.3508,MEDIO
2908868,2035907,0.3508,MEDIO
2909397,22502256,0.3089,MEDIO
